Entry requirements of this job:,Job description:,Jobs related to this code:,NS-SEC categorisations:,Tasks required by this job include:,This unit group is part of:,jobId,jobTitle
No academic qualifications are required. On-the-job training is provided. NVQs/SVQs in Cleaning: Highways and Land are available at Levels 1 and 2.,"Workers in this unit group clean, sweep and remove refuse from public thoroughfares.",Cleansing operative (street cleaning)Road sweeperStreet cleaner,"The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.4To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","sweeps pavements, gutters and roadways with hand broom or mechanical sweeper;collects litter using hand tools;transfers refuse into containers and empties public litter bins into containers.",Minor Group 923: ELEMENTARY CLEANING OCCUPATIONSSub-Major Group 92: ELEMENTARY ADMINISTRATION AND SERVICE OCCUPATIONSMajor Group 9: ELEMENTARY OCCUPATIONS,9232, STREET CLEANERS
"There are no formal academic entry requirements, although some employers may require GCSEs/S grades. A variety of relevant vocational courses, including apprenticeships in some areas, are available leading to qualifications up to Level 3.","Tailors and dressmakers prepare patterns and make, fit and alter tailored garments, dresses and other articles of clothing.","Cutter (hosiery, knitwear mfr)DressmakerFabric CutterTailorTailoress","The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","takes customer�s measurements and discusses required style and material;prepares individual or adapts stock pattern;examines fabrics or skins for flaws and prepares materials for cutting;arranges pattern on correct grain of fabric, marks position and cuts out garment parts with hand shears, electric knife or cutting machine;pins/tacks and fits garment on customer or dummy model and makes any necessary alterations;sews garment parts together by hand or machine, makes buttonholes and sews on fasteners and trimmings;shapes garment by pressing seams, pleats, etc.;makes alterations to finished garments according to customer�s requirements.","Minor Group 541: TEXTILES AND GARMENTS TRADESSub-Major Group 54: TEXTILES, PRINTING AND OTHER SKILLED TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5414, TAILORS AND DRESSMAKERS
"Entry is possible with GCSEs/S grades or a BTEC/ SQA award, although many entrants possess a degree or equivalent qualification. A professional qualification is required in either accountancy or taxation. Training is undertaken on-the-job and usually takes approximately four years to complete.",Taxation experts advise on tax matters and assess tax liabilities.,Tax adviserTax consultantTax inspectorTaxation specialist,"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines accounts of industrial, commercial and other establishments to determine their tax liability and makes adjustments to claims where necessary;considers particular problems concerning all forms of personal and company taxation;stays abreast of all changes in tax law and precedent;discusses disputed cases with accountants and other specialists;represents Government, client or employer in contested claims before tax officials or an independent tribunal.","Minor Group 353: BUSINESS, FINANCE AND RELATED ASSOCIATE PROFESSIONALSSub-Major Group 35: BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALSMajor Group 3: ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS",3535, TAXATION EXPERTS
"No academic qualifications are required but most entrants require a clean, current driving licence and a medical examination. Local authorities typically set their own tests of local knowledge and additional driving tests before awarding licences.","Taxi and cab drivers and chauffeurs drive motor cars for private individuals, government departments and industrial and commercial organisations, drive taxis for public hire, drive new cars to delivery points and drive motorcycles and other motor vehicles.",ChauffeurMini cab driverTaxi driverTaxi owner,"The simplified NS-SEC analytic class for this code is 4The simplified NS-SEC operational category for this code is 9.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","checks tyres, brakes, lights, oil, water and fuel levels and general condition of vehicle before start of journey;drives passenger-carrying motor cars, taxis and other motor cars and motorcycles, complying with road and traffic regulations;collects passengers when hailed or in response to telephone/radio message and helps them to secure their luggage;conveys passenger to destination and helps unload luggage;cleans, services and maintains vehicle or motorcycle.","Minor Group 821: ROAD TRANSPORT DRIVERSSub-Major Group 82: TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8214, TAXI AND CAB DRIVERS AND CHAUFFEURS
"Entry is possible with a variety of academic qualifications, professional qualifications and/or relevant experience.",Job holders in this unit group perform a variety of other education and teaching occupations not elsewhere classified in MINOR GROUP 231: Teaching and Educational Professionals.,Adult education tutorEducation consultantMusic teacherNursery manager (day nursery)Owner (nursery: children�s)Private tutorTEFL,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","designs and implements methods of assessing the performance of students, co-ordinates and undertakes the evaluation of assessments and awards grades of merit based upon performance;co-ordinates the activities of private music and dancing schools, training centres and similar establishments;provides private academic, vocational and other instruction to individuals or groups;teaches English as a foreign language and assists in the tuition of foreign languages.",Minor Group 231: TEACHING AND EDUCATIONAL PROFESSIONALSSub-Major Group 23: TEACHING AND EDUCATIONAL PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS,2319, TEACHING AND OTHER EDUCATIONAL PROFESSIONALS N.E.C.
"Academic qualifications may be required by some employers, although entry is possible with relevant experience (possibly on a voluntary basis) alone. An NVQ Level 2 qualification is available. CRB clearance is mandatory.",Teaching assistants assist teachers with their day-to-day classroom work and with routine administrative tasks.,Classroom assistantSchool assistantTeaching assistant,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","assists teacher with preparation or clearing up of classroom;looks after lesson materials such as paper, pencils and crayons;listens to children read, reads to them or tells stories;assists children with washing or dressing for outdoor and similar activities;makes simple teaching aids and constructs thematic displays of educational material or children�s work;helps with outings and other out-of-classroom activities.","Minor Group 612: CHILDCARE AND RELATED PERSONAL SERVICESSub-Major Group 61: CARING PERSONAL SERVICE OCCUPATIONSMajor Group 6: CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",6125, TEACHING ASSISTANTS
"There are no formal academic requirements, although entrants typically possess GCSEs/S grades or an equivalent qualification. Apprenticeships and traineeships combining work experience and practical training are available at NVQ/SVQ Levels 2 and 3.","Telecommunications engineers install, maintain and repair public and private telephone systems and maintain, test and repair telecommunications cables.",Cable jointerCustomer service engineer (telecommunications)Installation engineer (telecommunications)Network officer (telecommunications)Telecommunications engineerTelephone engineer,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.4To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","installs internal cabling and wiring for telephone systems and fits and wires junction and distribution boxes;fixes connecting wires from underground and aerial lines to premises and connects cable terminals to inside wiring;installs telephones, switchboards and coin operated phone boxes;uses testing equipment to locate defective components of circuitry and makes any necessary repairs;tests installation and makes any further necessary adjustments;assists with the erection of wooden poles or steel towers to carry overhead lines;connects cables and tests for any defects;locates and repairs faults to lines and ancillary equipment;erects and maintains mobile telecommunications infrastructure.","Minor Group 524: ELECTRICAL AND ELECTRONIC TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5242, TELECOMMUNICATIONS ENGINEERS
"Academic qualifications may be required. Training is typically received on-the-job, supplemented by short courses in practical skills. NVQs/SVQs in Selling are available at Levels 2 and 3.","Telephone salespersons obtain, receive, process and record telephone orders for goods and services.",Sales adviser (telephone sales)Telesales executiveTelesales operator,"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","learns about the product(s)/service(s) to be sold;telephones potential customers, explains purpose of call, discusses their requirements and advises on the goods/services being offered;quotes prices, credit terms and delivery conditions and records details of orders agreed;receives orders for goods/services by telephone and records relevant details;arranges despatch of goods and services, information and/or brochures to customers;maintains record of sales statistics, customers contacted and changes to customer details.",Minor Group 711: SALES ASSISTANTS AND RETAIL CASHIERSSub-Major Group 71: SALES OCCUPATIONSMajor Group 7: SALES AND CUSTOMER SERVICE OCCUPATIONS,7113, TELEPHONE SALESPERSONS
Academic qualifications may not be required. On-the-job training is provided.,"Telephonists receive and direct callers in commercial, industrial and other establishments, and operate telephone (public) and office (private) switchboards to advise on, and assist with, making telephone calls and to relay incoming, outgoing and internal calls.",Call handler (motoring organisation)Operator (telephone)Switchboard operator (telephone)TelephonistTelephonist-receptionist,"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.6To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","receives callers and directs them to appropriate person or department;operates switchboard to connect outgoing calls or to relay incoming or internal calls;reports any faults on telephone operating system;gives advice on dialling and other special features available;provides directory information, dialling codes and details of charges;alerts emergency services in cases of fire, crime or accident.",Minor Group 721: CUSTOMER SERVICE OCCUPATIONSSub-Major Group 72: CUSTOMER SERVICE OCCUPATIONSMajor Group 7: SALES AND CUSTOMER SERVICE OCCUPATIONS,7213, TELEPHONISTS
"There are no formal academic entry requirements. Training is typically provided on-the-job. NVQs/ SVQs in Manufacturing Textiles are available at Levels 1, 2 and 3.","Job holders in this unit group operate machines to prepare natural and synthetic fibres for processing, spin and twist fibre into yarn, thread, twine, rope and other similar material, and estimate the quantities of colouring matter required for printing and dyeing fabrics.","Hosiery workerMachinist (rope, twine mfr)Process worker (textile mfr)Spinner (paper twine mfr)","The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","sets controls, starts machinery and monitors the passage of material processed;replenishes the supply of input fibres, removes and replaces full output packages, cards and spools;detects blockages, tangled thread, defective or broken material, and joins broken ends by hand or mechanical knotting;checks quality of completed material, marks any flaws and removes badly damaged sections;examines colour cards or specifications, estimates quantity of colouring material needed to print or dye fibre and calculates and mixes ingredients accordingly;stretches, shrinks, brushes, dampens and presses fabric and shears or burns off protruding fabric fibres as required;cleans and oils machine, detects and reports mechanical faults to technicians.","Minor Group 811: PROCESS OPERATIVESSub-Major Group 81: PROCESS, PLANT AND MACHINE OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8113, TEXTILE PROCESS OPERATIVES
Entry does not depend on academic qualifications. Training is mainly on-the-job although relevant vocational courses and qualifications are available in some areas.,Job holders in this unit group perform a variety of textiles and related craft occupations not elsewhere classified in MINOR GROUP 541: Textiles and Garments Trades.,Clothing manufacturerEmbroidererHand sewerSail makerUpholstery cutter,"The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","marks out, cuts and sews corsets, light clothing and hoods and aprons and makes and repairs sails, boat covers and other canvas goods;fills and stuffs cushions, quilts, soft toys and furniture;examines sketches and draws out patterns for the manufacture of garments and upholstery;shapes and steams fabric into hats or hoods and gives final shape to fibre helmets and felt hats;performs other tasks not elsewhere classified, for example, forms mounts for wigs, makes buttons, shapes hat brims, and staples seams of industrial gloves.","Minor Group 541: TEXTILES AND GARMENTS TRADESSub-Major Group 54: TEXTILES, PRINTING AND OTHER SKILLED TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5419," TEXTILES, GARMENTS AND RELATED TRADES N.E.C."
Entrants usually possess an accredited degree or postgraduate qualification. Training can take between two to five years depending upon the chosen method of study. Courses provide a mixture of theoretical study and practical experience. Membership of professional bodies may be mandatory in some areas.,Job holders in this unit group plan and apply physical and therapeutic treatments and activities to assist recovery from physical and mental illness and to minimise the effects of disabilities not elsewhere classified in MINOR GROUP 222: Therapy professionals.,Art therapistChiropractorCognitive behavioural therapistDance movement therapistFamily therapistNutritionistOsteopathPsychotherapist,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 4.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","prescribes diet therapy and gives advice to patients, health care professionals and the public on dietetic and nutritional matters for those with special dietary requirements or to prevent illness amongst the general population;diagnoses and treats disorders of vision and eye movements, monitors subsequent progress and recommends further optical, pharmacological or surgical treatment as required;manipulates and massages patient to discover the cause of pain, relieve discomfort, restore function and mobility and to correct irregularities in body structure;adopts a holistic approach in assessing the overall health of the patient, and treats by inserting needles under the skin at�particular locations according to the disorder being treated;administers aromatic herbs and oils and massage to relieve pain and restore health;assesses and provides treatment for people with mental disabilities, or those suffering with mental illness, stress, and emotional and relationship problems;diagnoses and treats behavioural problems in animals.",Minor Group 222: THERAPY PROFESSIONALSSub-Major Group 22: HEALTH PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS,2229, THERAPY PROFESSIONALS N.E.C.
"There are no formal academic requirements although some employers may require GCSEs/S grades. Engineering apprenticeships, BTEC and City and Guilds qualifications are available together with on-the-job training. NVQs/ SVQs at Level 2 are available.","Tool makers, tool fitters and markers-out mark out metal for machining and fit, assemble and repair machine and press tools, dies, jigs, fixtures and other tools.",Die makerEngineer-toolmakerJig makerMarker-out (engineering)Tool fitterTool maker,"The simplified NS-SEC analytic class for this code is 5The simplified NS-SEC operational category for this code is 11.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines drawings and specifications to determine appropriate method and sequence of operations;marks out reference points using measuring instruments and tools such as punches, rules and squares;operates hand and machine tools to shape workpieces to specifications and checks accuracy of machining;assembles prepared parts, checks their alignment with micrometers, optical projectors and other measuring equipment and adjusts as necessary;repairs damaged or worn tools.","Minor Group 522: METAL MACHINING, FITTING AND INSTRUMENT MAKING TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5222," TOOL MAKERS, TOOL FITTERS AND MARKERS-OUT"
Entrants usually possess either an accredited degree or postgraduate qualification and must have completed at least two years� work experience in town planning before gaining professional status.,Town planning officers direct or undertake the planning of the layout and the co-ordination of plans for the development of urban and rural areas.,Planning officer (local government: building and contracting)Town plannerTown planning consultant,"The simplified NS-SEC analytic class for this code is 1.2The simplified NS-SEC operational category for this code is 3.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","analyses information to establish the nature, extent, growth rate and likely development requirements of the area;consults statutory bodies and other interested parties to ensure that local interests are catered for and to evaluate competing development proposals;drafts and presents graphic and narrative plans affecting the use of public and private land, housing and transport facilities;examines and evaluates development proposals submitted and recommends acceptance, modification or rejection;liaises with national and local government and other bodies to advise on urban and regional planning issues.","Minor Group 243: ARCHITECTS, TOWN PLANNERS AND SURVEYORSSub-Major Group 24: BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALSMajor Group 2: PROFESSIONAL OCCUPATIONS",2432, TOWN PLANNING OFFICERS
"There are no formal academic requirements. Entrants must pass a series of tests and a medical examination. Age restrictions apply in some areas of work. Good hearing, good eyesight and normal colour vision are required. Off- and on-the-job training is provided. NVQs/SVQs are available at Level 2.","Job holders in this unit group drive diesel, diesel-electric, electric and steam locomotives that transport passengers and goods on surface and underground railways, and transport passengers in trams.",Train driverTrain operatorTram driver,"The simplified NS-SEC analytic class for this code is 5The simplified NS-SEC operational category for this code is 11.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","checks controls, gauges, brakes and lights before start of journey and studies route, timetable and track information;checks safety equipment, regulates the heating of passenger compartments and records engine defects or unusual incidents on the journey;starts train or tram when directed and operates controls to regulate speed;watches for track hazards, observes signals and temperature, pressure and other gauges;stops as directed to allow passengers to embark/ disembark;makes scheduled stops for the loading and unloading of freight and coupling/uncoupling of carriages and tubs;maintains radio contact with control centre;may make passenger announcements and controls automatic doors;may check travel passes, collect fares and deal with passenger queries.","Minor Group 823: OTHER DRIVERS AND TRANSPORT OPERATIVESSub-Major Group 82: TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8231, TRAIN AND TRAM DRIVERS
"There are no minimum academic requirements, although entrants usually possess GCSEs/S grades. Training is usually provided on-the-job. NVQs/ SVQs in relevant areas are available at Levels 1, 2 and 3.",Workers in this unit group perform various clerical functions relating to the transport and distribution of goods and freight.,Export clerkLogistics controllerShipping clerkTransport administratorTransport clerkTransport coordinator,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","processes customer orders and forwards requisition documentation to storage and distribution personnel;formulates delivery loads, vehicle schedules and routes to be followed by delivery staff;monitors tachograph readings and maintains records of hours worked and distance travelled by drivers;obtains customs clearance and processes import and export documentation necessary for the movement of goods between countries;maintains records regarding the movement and location of freight, containers and staff.",Minor Group 413: ADMINISTRATIVE OCCUPATIONS: RECORDSSub-Major Group 41: ADMINISTRATIVE OCCUPATIONSMajor Group 4: ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,4134, TRANSPORT AND DISTRIBUTION CLERKS AND�ASSISTANTS
Entry is most common with GCSEs/S grades but is possible with other academic qualifications and/or relevant experience. Off- and on-the-job training is available. BTEC/SQA awards and NVQs/SVQs at Level 3 are available.,"Travel agency managers and proprietors plan, organise, direct and co-ordinate the resources and activities of travel agencies and booking offices.",Tourist information managerTravel agency ownerTravel manager,"The simplified NS-SEC analytic class for this code is 2The simplified NS-SEC operational category for this code is 5To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","plans work schedules and assigns tasks and responsibilities;co-ordinates the activities of clerical, secretarial and other staff;discusses client�s requirements and advises on road, rail, air and sea travel and accommodation;makes and confirms travel and accommodation bookings, arranges group holidays, tours and individual itineraries;advises on currency and passport/visa regulations and any necessary health precautions needed;determines financial, staffing, material and other short- and long-term needs.","Minor Group 122: MANAGERS AND PROPRIETORS IN HOSPITALITY AND LEISURE SERVICESSub-Major Group 12: OTHER MANAGERS AND PROPRIETORSMajor Group 1: MANAGERS, DIRECTORS AND SENIOR OFFICIALS",1226, TRAVEL AGENCY MANAGERS AND PROPRIETORS
"There are no formal academic entry requirements, although many employers require entrants to possess GCSEs/S grades. Off- and on-the-job training is usually available. NVQs/SVQs in travel services at Levels 2 and 3, BTEC, apprenticeships and higher level qualifications are available.","Travel agents advise travellers upon travel arrangements, make bookings and receive payment for travel arrangements made.",Reservations clerk (travel)Sales consultant (travel agents)Travel adviserTravel agentTravel consultant,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","discusses client requirements and shows brochures containing suitable packages;establishes availability with tour operators and makes bookings;consults travel time-tables, books travel tickets and accommodation;handles cash, debit and credit card payment;informs client of any changes in travel arrangements;advises on issues of currency, passports, visa requirements, insurance, car hire, vaccinations and other health precautions.","Minor Group 621: LEISURE AND TRAVEL SERVICESSub-Major Group 62: LEISURE, TRAVEL AND RELATED PERSONAL SERVICE OCCUPATIONSMajor Group 6: CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",6212, TRAVEL AGENTS
Entrants typically possess GCSEs/S grades or an equivalent qualification such as an Intermediate GNVQ/GSVQ Level II. Training is provided off- and on-the-job and may be supplemented by short courses delivered by manufacturers. NVQs/SVQs in Domestic Appliance Engineering are available at Level 3.,"TV, video and audio engineers service and repair domestic television, video and audio appliances.","Installation engineer (radio, television and video)Satellite engineerService engineer (radio, television and video)Technician (radio, television and video)Television engineer","The simplified NS-SEC analytic class for this code is 5The simplified NS-SEC operational category for this code is 11.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","examines equipment and observes reception to determine nature of defect;uses electronic testing equipment to diagnose faults and check voltages and resistance;dismantles equipment and repairs or replaces faulty components or wiring;re-assembles equipment, tests for correct functioning and makes any necessary further adjustments;carries out service tasks such as cleaning and insulation testing according to schedule.","Minor Group 524: ELECTRICAL AND ELECTRONIC TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5244," TV, VIDEO AND AUDIO ENGINEERS"
Entry is most common with GCSEs/S grades. Entrants are normally expected to have obtained minimum typing speeds and hold vocational certificates. Units in keyboarding skills and producing documents are included in NVQs/SVQs in Administration at Levels 1 to 4.,"Job holders in this unit group type letters, memos, reports and other documents from draft, handwritten or dictated matter, using appropriate software packages.",Audio typistComputer operatorTypistTypist-clerkWord processor,"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","types letters, memos, reports, presentations and other documents using the appropriate software;inserts logos and other special features and formats as specified;proof reads, edits and corrects errors to produce clean copy to specified layout;adjusts settings of printer as necessary and monitors quality of printed document.",Minor Group 421: SECRETARIAL AND RELATED OCCUPATIONSSub-Major Group 42: SECRETARIAL AND RELATED OCCUPATIONSMajor Group 4: ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,4217, TYPISTS AND RELATED KEYBOARD OCCUPATIONS
"There are no formal academic entry requirements. Training is typically provided on-the-job, or through training programmes within larger companies. NVQs/SVQs in Vehicle Maintenance (Service Replacement) are available at Levels 1 and 2.","Tyre, exhaust and windscreen fitters fit, repair and adjust tyres, exhausts and windscreens on cars, buses, motorcycles and other motor vehicles.",Tyre and exhaust fitterTyre fitterTyre technicianWindscreen fitter,"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.4To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","carries out inspection and assesses the nature and extent of repair necessary;removes wheel, exhaust or windscreen using semi-automatic machinery or hand and power tools;separates tyre from wheel and fits replacement tyre using automatic machine or by using a wheel stand and hand tools;inflates tyre to correct pressure, refits wheel to axle and balances wheel using balancing machine;replaces faulty parts of exhaust and refits exhaust or windscreen to vehicle.","Minor Group 813: ASSEMBLERS AND ROUTINE OPERATIVESSub-Major Group 81: PROCESS, PLANT AND MACHINE OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8135," TYRE, EXHAUST AND WINDSCREEN FITTERS"
There are no formal academic requirements although some employers require candidates to possess GCSEs/S grades. A full driving licence is often required. Training is provided on-the-job. Professional qualifications in funeral directing and embalming are available.,"Undertakers, mortuary and crematorium assistants make funeral arrangements for clients, prepare the deceased for burial or cremation, and supervise and assist the proceedings of funerals.",Crematorium technicianFuneral directorPall bearerUndertaker,"The simplified NS-SEC analytic class for this code is 6The simplified NS-SEC operational category for this code is 12.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","collects body of deceased and assists with the completion of necessary documents;interviews relative or representative of the deceased to discuss preparations for funeral;liaises with cemetery or crematorium authorities on behalf of client;washes and injects body with sterilising fluid to prevent deterioration prior to funeral, and applies cosmetics, wax and other materials to restore normal appearance;provides hearse and funeral cars and leads funeral procession;controls the operations of crematoriums and cemeteries and processes legal documentation.","Minor Group 614: CARING PERSONAL SERVICESSub-Major Group 61: CARING PERSONAL SERVICE OCCUPATIONSMajor Group 6: CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",6148," UNDERTAKERS, MORTUARY AND CREMATORIUM ASSISTANTS"
There are no formal academic requirements although some employers may require GCSEs/S grades. Training is provided off- and on-the-job. NVQs/ SVQs in Upholstered Furniture Production are available at Level 2.,"Job holders in this unit group upholster vehicle, aircraft and other seating, fix trimmings to the interiors of vehicles and aircraft, upholster furniture such as chairs and sofas, and make mattresses, curtains and other soft furnishings.",Curtain fitterCurtain makerSoft furnisherTrimmer (furniture mfr)Upholsterer,"The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","measures frame to be covered or examines drawings or other specifications and cuts material with shears, knife or scissors;tacks and staples or otherwise secures webbing to furniture frame;pads springs and secures padding by stitching, stapling, tacking, etc.;pins sections of coverings together, joins by sewing and inserts trims, braids and buttons as required and fits upholstery unit to frame;operates machine to compress padded spring assemblies and inserts them into mattress covers;encases bed springs and padding with selected covering material by hand or machine stitching and fits castors where required;replaces covering, padding, webbing or springs to repair upholstered furniture;measures, cuts, pins, sews and trims fabrics to make curtains, cushions, loose covers and similar soft furnishings.","Minor Group 541: TEXTILES AND GARMENTS TRADESSub-Major Group 54: TEXTILES, PRINTING AND OTHER SKILLED TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5412, UPHOLSTERERS
"There are no formal academic entry requirements. Entrants must�possess a clean car driving licence. In order to drive vehicles�between 3.5 and 7.5 tonnes, entrants must pass an additional test for a category C1 licence. Minimum age restrictions apply according to the weight of vehicle and whether the driver holds a Driver CPC (Certificate of Professional Competence). NVQs/SVQs in relevant areas and at various levels are available.","Van drivers collect, transport and deliver goods in vehicles up to 7.5 tonnes in weight.",Courier driverDelivery driverDriverParcel delivery driverVan driver,"The simplified NS-SEC analytic class for this code is 7The simplified NS-SEC operational category for this code is 13.3To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","checks tyres, brakes, lights, oil, water and fuel levels and general condition of the vehicle;drives vehicle from depot to loading/unloading point;assists with loading/unloading and obtains receipts from customers for goods collected/delivered;drives vehicle to destination in accordance with schedule;maintains records of journey times, mileage and hours worked;undertakes minor repairs and notifies supervisor of any mechanical faults.","Minor Group 821: ROAD TRANSPORT DRIVERSSub-Major Group 82: TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVESMajor Group 8: PROCESS, PLANT AND MACHINE OPERATIVES",8212, VAN DRIVERS
"There are no formal academic requirements for entry but some employers may ask for GCSEs and/or some previous relevant work experience. Apprenticeships may be available in some areas. Vehicle salespersons generally require a full, clean driving licence.","Vehicle and parts salespersons and advisers sell new and used vehicles to the general public, and vehicle accessories and parts to garages, vehicle dealerships and the general public.",Car sales executiveCar salesmanParts adviser (retail trade)Parts salesman (motor vehicle repair),"The simplified NS-SEC analytic class for this code is 3The simplified NS-SEC operational category for this code is 7.2To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","discusses customer�s requirements, advises on most appropriate vehicle, explains its features and arranges test drive;negotiates sale price including any �trade-in� and extra accessories, works out finance arrangements and completes sales paperwork;carries out pre-delivery inspection and formal hand-over of vehicle to customer;updates stock record, orders new vehicles from manufacturer, buys in used cars;receives orders for parts by phone, email or in person and checks availability on stock record;obtains parts from store or orders from suppliers;organises delivery of parts and handles payment;orders new supplies, arranges storage and updates stock records.",Minor Group 711: SALES ASSISTANTS AND RETAIL CASHIERSSub-Major Group 71: SALES OCCUPATIONSMajor Group 7: SALES AND CUSTOMER SERVICE OCCUPATIONS,7115, VEHICLE AND PARTS SALESPERSONS AND ADVISERS
There are no formal academic entry requirements although some employers may require GCSEs/S grades or an equivalent qualification. Apprenticeships at NVQ/SVQ Levels 2 and 3 are also available and take between three to four years to complete. Off- and on-the-job training is provided. NVQs/SVQs at Levels 2 and 3 are available.,"Job holders in this unit group construct and repair the bodies of road vehicles, and fit interior and exterior fittings to vehicle bodies.",Bodyshop technicianCar body repairerCoach builderPanel beaterRestoration technician (motor vehicles)Vehicle builder,"The simplified NS-SEC analytic class for this code is 5The simplified NS-SEC operational category for this code is 11.1To find your exact NS-SEC code, please use the NS-SEC Coding Tool.","diagnoses job requirements or ascertains work specifications from drawings or instructions;selects, cuts, shapes and assembles materials to form parts of vehicle underframe, framework and body;repairs damage to chassis and engine mountings using hydraulic rams, jacks and jigs;hammers out dents in bodywork, fills in small depressions or corroded areas in solder, plastic or other filler compound and replaces body panels using hand and power tools;installs and repairs interior fittings including seats, seatbelts and fascia in cars, sinks and special features in caravans and mobile shops;positions, secures and repairs external fittings including windows, doors, door handles, catches and roof attachments.","Minor Group 523: VEHICLE TRADESSub-Major Group 52: SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADESMajor Group 5: SKILLED TRADES OCCUPATIONS",5232, VEHICLE BODY BUILDERS AND REPAIRERS
